DEPTH,CASEOD,MATRXDEN,ABHV,DCAL,DPOR,GR,NPOR,RHOB,RHOC,SCAL
898.5,4.5,2.71,5.5482,6.6123,4.8878,100.681,22.3297,2.6264,0.0529,6.7516
898,4.5,2.71,5.6148,6.6141,4.5536,106.473,21.9662,2.6321,0.0613,6.7571
897.5,4.5,2.71,5.6817,6.6272,5.3105,113.8072,21.9574,2.6192,0.06,6.7566
897,4.5,2.71,5.7492,6.663,5.7455,114.5857,22.0677,2.6118,0.0432,6.7521
896.5,4.5,2.71,5.8173,6.6961,5.6855,115.8403,22.2177,2.6128,0.0355,6.752
896,4.5,2.71,5.8857,6.7083,6.1609,121.2598,22.7055,2.6046,0.0451,6.7616
895.5,4.5,2.71,5.9544,6.7109,7.5076,127.3186,22.8532,2.5816,0.0561,6.7712
895,4.5,2.71,6.0232,6.7131,8.9345,129.2955,22.3333,2.5572,0.0582,6.7749
894.5,4.5,2.71,6.0923,6.7235,9.5501,126.2099,21.7338,2.5467,0.0606,6.7774
894,4.5,2.71,6.1621,6.7578,9.1541,124.8514,21.398,2.5535,0.0683,6.7829
893.5,4.5,2.71,6.2331,6.8223,8.5103,125.6137,21.6054,2.5645,0.0867,6.786
893,4.5,2.71,6.3054,6.8969,9.1737,122.0322,22.4014,2.5531,0.1067,6.7793
892.5,4.5,2.71,6.378,6.9335,12.5494,112.2935,22.9835,2.4954,0.1079,6.7619
892,4.5,2.71,6.4504,6.9396,18.3417,90.0398,22.8772,2.3964,0.0869,6.7419
891.5,4.5,2.71,6.5226,6.9399,23.4579,61.4724,21.7016,2.3089,0.036,6.7346
891,4.5,2.71,6.5949,6.9393,24.0539,48.014,19.6148,2.2987,-0.0106,6.7388
890.5,4.5,2.71,6.6673,6.9405,20.193,52.2955,18.3372,2.3647,-0.0075,6.7428
890,4.5,2.71,6.7398,6.9423,16.032,60.6532,18.6374,2.4359,0.0071,6.744
889.5,4.5,2.71,6.8123,6.9424,14.5329,62.3077,19.3352,2.4615,0.0099,6.7475
889,4.5,2.71,6.8848,6.9421,15.2617,60.4024,19.654,2.449,0.0157,6.7483
