DEPTH,CILD,CALN,CALD,GR,ILD,ILM,LWTLB,NPLS,DPLS,RXRT,SFL,SP,DRHO,RHOB,PE
695,125.93,6.79,7.01,110.02,7.94,8.29,704.38,25.7,15.48,-17.79,10.28,-115.59,0.01,2.45,3.03
695.5,128.3,6.79,7.01,98.76,7.79,8.16,712.08,23.87,16.53,-18.52,10.26,-90.93,0.01,2.43,3.06
696,129.52,6.79,7.02,90.16,7.72,8.08,715.24,23.07,16.77,-18.67,10.2,-76.4,0,2.42,2.96
696.5,129.49,6.79,7.01,92.47,7.72,8.07,716.54,22.1,16.67,-18.66,10.2,-72.74,0,2.43,2.86
697,128.56,6.79,7.01,97.22,7.78,8.15,708.81,22.7,16.33,-18.76,10.29,-74.31,0,2.43,2.88
697.5,127.22,6.79,7.02,98.98,7.86,8.31,703.42,23.62,15.56,-18.91,10.43,-77.64,0.01,2.44,2.92
698,125.38,6.79,7.02,107.11,7.98,8.52,693.88,22.81,14.92,-18.83,10.56,-82.32,0,2.45,2.95
698.5,123.5,6.79,7.01,116.97,8.1,8.72,687.96,22.72,14.57,-18.69,10.68,-89.96,0,2.46,3.07
699,121.63,6.79,7.02,123.82,8.22,8.87,683.45,24.06,14.82,-18.44,10.78,-100.9,-0.01,2.46,3.19
699.5,120.48,6.79,7.02,127.59,8.3,8.95,689.52,25,15.61,-18.19,10.82,-110.95,0,2.44,3.24
700,120.58,6.79,7.02,123.98,8.29,8.96,698.41,25.16,16.43,-18.3,10.84,-110.57,0,2.43,3.21
700.5,122.22,6.79,7.01,121.78,8.18,8.89,713,25.24,16.6,-19.17,10.9,-95.76,0,2.43,3.2
701,124.76,6.79,7.02,132.91,8.02,8.74,716.28,24.7,16.15,-20.45,10.98,-77.41,0,2.43,3.25
701.5,127.33,6.79,7.01,145.92,7.85,8.49,713.13,23.66,16.23,-21.02,10.91,-68.8,-0.01,2.43,3.33
702,129.66,6.79,7.01,138.51,7.71,8.19,696.26,23.34,16.92,-20.24,10.54,-67.4,-0.02,2.42,3.31
702.5,131.69,6.79,7.02,117.03,7.59,7.94,682.17,23.58,17.18,-18.87,10.08,-63.11,-0.01,2.42,3.14
703,133.97,6.79,7.01,105.14,7.46,7.79,674.49,23.07,17.06,-18.47,9.83,-52.93,0,2.42,2.95
703.5,137.09,6.79,7.02,108.42,7.29,7.74,674.24,22.84,16.39,-19.81,9.9,-44.47,0,2.43,2.98
704,140.24,6.79,7.01,119.27,7.13,7.74,682.3,24.26,15.43,-21.7,10.09,-40.44,0,2.45,3.18
704.5,142.22,6.79,7.01,127.04,7.03,7.71,689.2,26.08,14.83,-22.36,10.1,-39.64,0,2.46,3.28
705,142.91,6.79,7.02,130.46,7,7.63,688.58,25.98,15.48,-21.54,9.88,-41.07,0,2.45,3.26
705.5,142.12,6.79,7.01,125.14,7.04,7.54,683.78,26.47,16.79,-19.98,9.59,-43.49,0,2.42,3.1
706,141.04,6.79,7.01,111.25,7.09,7.55,675.9,26.08,18.18,-19.11,9.48,-44.66,0,2.4,2.85
706.5,140.56,6.79,7.02,98.11,7.11,7.69,671.96,24.01,18.47,-19.64,9.62,-42.35,0,2.39,2.59
707,141.13,6.79,7.02,94.69,7.09,7.91,668.48,23.3,16.81,-21.35,9.95,-39.25,0,2.42,2.44
707.5,142.69,6.79,7.02,106.95,7.01,8.08,659.24,23.55,14.78,-23.4,10.31,-36.91,0,2.46,2.53
708,144.94,6.79,7.02,122.99,6.9,8.05,653.4,24.39,14.37,-24.64,10.44,-35.6,0,2.46,2.87
708.5,147.32,6.79,7.02,129.34,6.79,7.8,639.2,26.54,15.65,-24.43,10.23,-35.49,0,2.44,3.21
709,149.91,6.79,7.02,131.13,6.67,7.44,637.56,28.51,17.19,-23.17,9.78,-36.1,0,2.42,3.31
709.5,153.05,6.79,7.02,126.95,6.53,7.1,628.32,28.67,17.78,-21.98,9.33,-37.43,0,2.41,3.17
710,156.65,6.79,7.02,116.98,6.38,6.86,616.99,27.28,17.46,-21.95,9.12,-39,0.01,2.41,2.97
710.5,160.19,6.79,7.02,106.95,6.24,6.75,603.47,25.43,16.99,-23.34,9.21,-40.17,0.01,2.42,2.84
711,163.21,6.79,7.02,95.84,6.13,6.74,602.63,23.76,16.91,-25.18,9.43,-39.97,0.01,2.42,2.82
711.5,165.33,6.79,7.01,89.81,6.05,6.78,619.81,22.7,17.13,-26.54,9.61,-37.98,0.01,2.42,2.82
712,167.06,6.79,7.02,87.92,5.99,6.83,648.99,22.54,17.3,-27.56,9.74,-36.07,0.01,2.41,2.8
712.5,168.92,6.79,7.02,93.12,5.92,6.86,675.75,22.29,16.79,-28.41,9.83,-34.66,0.01,2.42,2.7
713,171.45,6.79,7.02,103.88,5.83,6.84,692.21,21.71,15.07,-29.09,9.85,-33.26,0.02,2.45,2.59
713.5,174.42,6.79,7.02,119.33,5.73,6.74,694.28,21.77,13.43,-29.44,9.76,-31.83,0.02,2.48,2.61
714,177.53,6.79,7.02,133.61,5.63,6.55,699.52,22.82,13.52,-29.02,9.5,-31.17,0.01,2.48,2.77
714.5,180.56,6.79,7.02,134.57,5.54,6.33,703.34,24.3,14.82,-28.29,9.19,-31.82,0,2.46,2.92
715,183.69,6.79,7.02,123.09,5.44,6.15,714.54,24.54,16,-28.52,9.09,-32.99,0,2.44,2.84
715.5,186.51,6.79,7.02,107.16,5.36,6.04,732.89,22.91,17.31,-29.5,9.17,-33.93,0,2.41,2.7
716,188.77,6.79,7.01,99.21,5.3,6.01,744.65,22.21,18.29,-30.28,9.23,-34.51,0,2.4,2.65
716.5,189.78,6.79,7.02,97.68,5.27,6.03,751.07,23.63,18.71,-30.47,9.22,-34.95,0.01,2.39,2.67
717,189.31,6.79,7.02,93.79,5.28,6.1,742.28,23.87,18.91,-30.33,9.21,-35.41,0.01,2.39,2.71
717.5,187.85,6.79,7.02,89.9,5.32,6.2,733.17,22.43,18.85,-30.27,9.27,-35.89,0,2.39,2.65
718,186.38,6.79,7.02,88.57,5.37,6.31,721.52,21.72,18.11,-30.75,9.45,-36.27,0,2.4,2.62
718.5,185.83,6.79,7.02,89.18,5.38,6.43,716.42,22.02,16.62,-31.71,9.7,-36.52,0.01,2.43,2.65
719,186.6,6.79,7.02,92.89,5.36,6.49,706.18,22.53,15.38,-32.62,9.87,-36.62,0.02,2.45,2.67
719.5,187.95,6.79,7.02,100.38,5.32,6.45,700.26,22.66,15.42,-32.98,9.89,-36.65,0.02,2.45,2.76
720,189.03,6.79,7.02,103.54,5.29,6.3,694.28,23.49,16.8,-32.44,9.71,-36.91,0.01,2.42,2.92
720.5,189.74,6.79,7.03,97.97,5.27,6.1,698.17,24.31,19.13,-31.55,9.47,-37.64,0,2.38,3.02
721,189.95,6.79,7.03,87.29,5.26,5.94,695.01,24,20.7,-31.69,9.49,-38.44,0,2.36,2.89
721.5,188.98,6.79,7.06,76.15,5.29,5.88,698.37,23.5,20.44,-33.21,9.89,-38.99,0,2.36,2.68
722,186.13,6.79,7.06,66.82,5.37,5.91,688.29,22.48,18.89,-34.82,10.44,-39.16,0.01,2.39,2.53
722.5,181.27,6.79,7.06,57.98,5.52,6.03,674.62,21.77,17.73,-34.86,10.72,-38.94,0.02,2.41,2.5
723,176.61,6.79,7.06,53.79,5.66,6.22,662.88,21.09,17.55,-33.41,10.61,-38.33,0.02,2.41,2.6
723.5,175.3,6.79,7.06,62.98,5.7,6.46,670.19,20.64,17.77,-32.43,10.43,-37.3,0.03,2.41,2.7
724,178.03,6.79,7.06,75.19,5.62,6.62,690.6,20.99,19.07,-33.38,10.52,-35.97,0.02,2.38,2.74
724.5,183.76,6.79,7.06,78.79,5.44,6.49,714.22,22.19,23.73,-35.36,10.71,-34.36,0.01,2.3,2.73
725,188.49,6.79,7.06,78.05,5.31,5.98,719.81,25.31,33.4,-35.18,10.41,-32.25,-0.01,2.14,2.72
725.5,187.96,6.8,7.07,81.46,5.32,5.32,714.39,31.92,45.71,-29.42,9.08,-29.2,0,1.93,2.59
726,179.54,7.04,7.51,88.13,5.57,4.93,702.79,40.25,53.34,-17.78,7.37,-25.16,0.07,1.8,2.44
726.5,166.32,7.55,7.51,95.54,6.01,5.1,707.1,44.09,52.7,-6.06,6.42,-21.52,0.2,1.81,2.31
727,153.57,8.38,7.3,99.76,6.51,6.17,716.57,44.13,49.42,-5.31,7.03,-19.28,0.29,1.86,2.13
727.5,146.21,8.73,6.88,101.42,6.84,8.71,726.75,39.64,46.06,-18.35,9.65,-18.12,0.27,1.92,2.01
728,142.15,7.98,6.88,105.53,7.03,12.7,737.07,34.94,38.01,-32.62,13.34,-17.42,0.19,2.06,1.98
728.5,137.17,6.74,6.88,102.19,7.29,14.35,744.22,27.85,23.92,-38.58,15.28,-16.91,0.1,2.3,2.2
729,129.49,6.73,6.88,97.59,7.72,11.73,752.59,21.01,11.1,-34.79,14.7,-16.66,0.05,2.52,2.92
729.5,120.96,6.73,6.88,103.47,8.27,9.06,758.7,19.36,6.48,-24.71,12.4,-16.64,0.02,2.6,3.68
730,115.76,6.73,6.88,113.26,8.64,7.65,764.53,20.36,7.19,-14.03,10.29,-16.77,0.01,2.59,3.87
730.5,117.34,6.73,6.88,120.37,8.52,7.12,759.13,22.65,8.04,-8.14,9.04,-16.87,0.01,2.57,3.79
731,124.9,6.73,6.91,125.48,8.01,6.99,743.48,24.69,8.75,-7.93,8.48,-16.76,0.01,2.56,3.7
731.5,136.37,6.73,6.93,130.95,7.33,6.96,715.26,26.3,8.84,-10.64,8.21,-16.42,0.01,2.56,3.67
732,147.9,6.73,6.96,137.88,6.76,6.86,693.76,26.99,8.13,-13.4,8.02,-15.92,0.01,2.57,3.65
732.5,155.78,6.73,6.96,141.35,6.42,6.72,678.85,26.71,7.31,-15.23,7.91,-15.32,0.02,2.59,3.57
733,159.81,6.73,6.96,136.28,6.26,6.6,682.56,26.36,6.77,-16.62,7.95,-14.8,0.03,2.59,3.57
733.5,160.47,6.73,6.97,131.47,6.23,6.54,689.81,26.37,6.43,-17.46,8.06,-14.47,0.04,2.6,3.58
734,159.44,6.73,6.97,132.72,6.27,6.53,693.7,27.34,6.07,-17.79,8.17,-14.27,0.04,2.61,3.49
734.5,157.54,6.73,6.97,137.77,6.35,6.55,698.19,27.29,6.01,-17.79,8.26,-14.18,0.04,2.61,3.44
735,155.52,6.73,6.97,143.54,6.43,6.58,710.77,25.63,6.17,-17.57,8.33,-14.16,0.03,2.6,3.49
735.5,153.98,6.73,6.97,144.9,6.49,6.62,729.9,25.8,6.31,-17.27,8.35,-14.14,0.03,2.6,3.57
736,153.03,6.73,6.97,138.86,6.53,6.65,753.65,26.95,6.66,-17.1,8.37,-14.09,0.02,2.6,3.65
736.5,152.57,6.73,6.97,131.43,6.55,6.66,771.16,25.9,7.87,-17.02,8.38,-13.94,0.01,2.58,3.73
737,152.75,6.73,6.97,130.77,6.55,6.63,781.73,25.29,8.85,-16.81,8.34,-13.65,0,2.56,3.83
737.5,153.8,6.73,6.97,135.54,6.5,6.58,779.73,26.48,9.46,-16.54,8.23,-13.34,0,2.55,4.02
738,155.95,6.73,6.97,141.58,6.41,6.51,779.19,27.43,8.9,-16.73,8.16,-13.14,0,2.56,4.04
738.5,158.98,6.73,6.97,144.34,6.29,6.46,786.41,27,8.25,-17.81,8.19,-13.06,0.01,2.57,3.99
739,161.91,6.73,6.97,137.97,6.18,6.41,801.52,26.87,8.67,-19.48,8.34,-12.99,0,2.56,4
739.5,162.79,6.73,6.97,132.09,6.14,6.37,825.35,27.03,9.02,-20.82,8.55,-12.95,0,2.56,3.97
740,160.52,6.73,6.97,133.85,6.23,6.34,841.03,27.3,8.93,-20.84,8.67,-13.07,0,2.56,3.73
740.5,154.99,6.73,6.97,136.78,6.45,6.42,848.08,27.14,8.36,-18.97,8.61,-13.43,0,2.57,3.52
741,146.96,6.73,6.97,134.21,6.8,6.73,841.21,28.18,8.34,-17.47,8.78,-13.94,0,2.57,3.49
741.5,139.14,6.73,6.97,134.61,7.19,7.39,831.02,28.47,8.33,-22.92,10.42,-14.51,0,2.57,3.49
742,132.19,6.73,6.97,133.96,7.56,8.46,813.54,26,7.65,-35.42,14.63,-15.18,0,2.58,3.54
742.5,124.43,6.73,6.97,118.45,8.04,9.68,797.18,21.59,6.04,-47.02,20.84,-16.07,0,2.61,3.68
743,114.86,6.73,6.97,98.42,8.71,10.46,776.77,18.06,5.37,-50.19,24.44,-17.3,-0.01,2.62,3.98
743.5,105.57,6.73,6.97,106.38,9.47,10.52,764.72,16.01,7.79,-42.81,21.85,-19.23,-0.02,2.58,4.23
744,98.24,6.73,6.97,153.54,10.18,10.31,753.81,16.66,12.21,-32.23,18,-22.29,-0.02,2.5,4.15
744.5,96.9,6.73,6.97,218.16,10.32,10.27,758.09,21.25,17.82,-29.39,17.04,-26.64,-0.02,2.41,4.08
745,103.34,6.73,6.98,293.37,9.68,10.27,754.58,27.54,26.17,-37.06,19.3,-31.28,-0.03,2.26,4.09
745.5,113.55,6.73,6.99,386.62,8.81,9.76,744.47,33.76,36.59,-45.66,21.95,-33.31,-0.04,2.08,3.76
746,121.2,6.73,7.05,438.63,8.25,8.68,728.96,40.86,47.67,-44.99,20.27,-31.64,-0.05,1.89,3.22
746.5,125.11,6.74,7.21,377.85,7.99,7.7,730.36,42.63,54.16,-33.57,14.74,-27.87,-0.01,1.78,2.65
747,125.97,6.83,7.34,259.69,7.94,7.35,749.84,41.29,50.94,-17.77,10.29,-24.21,0.09,1.84,2.22
747.5,126.06,7.27,7.32,170.54,7.93,7.75,773.76,38.94,36.48,-9.54,8.84,-21.9,0.24,2.09,2.12
748,128.28,7.03,7.09,136.57,7.8,8.73,784.19,34.41,22.08,-14.36,9.48,-20.57,0.3,2.33,2.19
748.5,130.79,6.9,6.97,139.03,7.65,9.72,783.66,30.81,13.77,-21.97,10.89,-19.8,0.23,2.47,2.36
749,129.4,6.74,6.97,152.02,7.73,10.05,771.66,28.6,10.28,-24.89,11.67,-19.44,0.09,2.53,2.7
749.5,123.55,6.74,6.97,158.63,8.09,9.77,769.74,26.02,8.18,-23.13,11.73,-19.32,0.01,2.57,3.16
750,114.95,6.74,6.97,153.61,8.7,9.47,776.96,24.7,6.59,-19.02,11.49,-19.72,-0.01,2.6,3.48
750.5,106.26,6.74,6.97,152.6,9.41,9.5,782.62,24.64,6.98,-14.5,11.27,-21,-0.02,2.59,3.63
751,100.04,6.74,6.97,155.26,10,9.84,788.36,24.99,7.88,-11.2,11.18,-22.99,-0.01,2.58,3.66
751.5,97.41,6.74,6.97,148.06,10.27,10.32,790.53,26.19,8.66,-10.08,11.22,-24.99,0,2.56,3.6
752,97.39,6.73,6.97,140.05,10.27,10.66,802.93,27.12,9.2,-10.53,11.32,-26.31,0,2.55,3.47
752.5,98.88,6.73,6.97,137.12,10.11,10.72,817.15,26.37,9.01,-11.54,11.38,-26.8,0,2.56,3.31
753,100.92,6.74,6.97,133.77,9.91,10.52,838.94,25.58,8.06,-12.33,11.34,-26.62,0,2.57,3.18
753.5,103.31,6.74,6.97,132.61,9.68,10.19,846,26.25,6.33,-12.94,11.22,-26.23,0.01,2.6,3.12
754,106.06,6.74,6.97,134.14,9.43,9.83,837.5,26.74,4.56,-13.53,11.07,-26.11,0.02,2.63,3.11
754.5,108.74,6.73,6.97,138.93,9.2,9.51,814.49,27.08,3.82,-13.83,10.88,-26.39,0.02,2.64,3.21
755,111.68,6.74,6.97,149.27,8.95,9.21,793.85,27.64,4.61,-13.87,10.61,-26.96,0.01,2.63,3.33
755.5,114.57,6.74,6.97,156.12,8.73,8.95,762.3,27.17,5.74,-13.68,10.31,-27.6,0.01,2.61,3.3
756,117.23,6.74,6.97,159.22,8.53,8.73,740.74,28.42,6.46,-13.46,10.04,-28.17,0,2.6,3.15
756.5,119.93,6.74,6.97,160.57,8.34,8.55,712.73,30.11,7.16,-13.58,9.85,-28.69,0,2.59,3.01
757,122.31,6.74,6.97,156.01,8.18,8.43,692.31,29.89,8.32,-13.98,9.74,-29.21,-0.01,2.57,2.97
757.5,123.75,6.74,6.97,151.91,8.08,8.34,671.7,30.58,9.35,-14.31,9.7,-29.53,-0.01,2.55,2.96
758,123.9,6.74,6.97,149.98,8.07,8.3,673.93,30.45,9.53,-14.13,9.65,-29.66,-0.01,2.55,2.97
758.5,122.15,6.74,6.97,153.18,8.19,8.32,687.3,29.11,9.45,-13.21,9.61,-29.58,0,2.55,3
759,119.29,6.74,6.97,157.28,8.38,8.41,717.59,28.99,9.38,-12.29,9.65,-29.45,0,2.55,3.05
759.5,115.95,6.74,6.97,156.3,8.62,8.58,751.32,29.91,9.32,-11.89,9.84,-29.86,0,2.55,3.14
760,114.34,6.74,6.97,150.53,8.75,8.78,776.65,30.47,9.66,-12.74,10.14,-31.24,0,2.54,3.23
760.5,116.6,6.74,6.97,144.94,8.58,8.92,779.89,30.09,10.24,-15.46,10.52,-33.39,0.01,2.53,3.31
761,124.04,6.74,6.97,145.43,8.06,8.84,773.43,30.19,10.67,-19.91,10.89,-35.81,0.01,2.53,3.35
761.5,135.15,6.74,6.97,147.79,7.4,8.34,758.7,30.28,10.14,-24.52,11.1,-37.79,0.01,2.54,3.28
762,146.39,6.74,6.97,146,6.83,7.44,752.6,28.44,8.98,-26.69,10.8,-38.63,0.01,2.56,3.12
762.5,154.44,6.74,6.97,146.39,6.47,6.45,753.02,27.41,8.01,-23.71,9.59,-38.33,0.01,2.57,3.04
763,157.12,6.74,6.97,145.48,6.36,5.72,753.84,28.6,7.83,-15.15,7.84,-37.4,0,2.58,3.21
763.5,155.29,6.74,6.97,146.75,6.44,5.47,746.01,31.09,9.16,-7.08,6.76,-36.75,-0.01,2.55,3.59
764,151.92,6.74,6.97,157.96,6.58,5.79,735.92,32.37,11.87,-11.8,7.56,-37.08,0,2.51,3.94
764.5,148.31,6.74,6.97,178.86,6.74,6.76,734.12,33.09,15.95,-26.5,10.62,-38.74,0,2.44,4.11
765,142.51,6.74,6.97,200.34,7.02,8.32,732.65,34.92,21.65,-37.88,14.47,-41.52,0,2.34,4.14
765.5,132.94,6.74,6.97,202.26,7.52,10.08,736.07,35.2,27.59,-39.92,16.28,-44.48,0,2.24,4.05
766,119.63,6.74,6.97,177.22,8.36,11.16,731.06,34.47,27.68,-33.98,15.53,-46.78,0.02,2.24,3.6
766.5,106.64,6.74,6.97,151.22,9.38,11.3,722.86,31.49,21.44,-25.64,14.26,-48.13,0.03,2.34,3.1
767,97.63,6.74,6.97,139.96,10.24,10.93,711.44,25.2,14.68,-19.49,13.55,-48.95,0.02,2.46,2.91
767.5,94.36,6.74,6.97,134.54,10.6,10.48,707.15,22.63,10.62,-16.75,13.21,-49.65,0,2.53,3.06
768,95.69,6.74,6.97,130.61,10.45,10.06,699.92,23.26,9.26,-15.78,12.78,-50.19,-0.01,2.55,3.28
768.5,100.06,6.74,6.97,128.81,9.99,9.7,694.87,23.49,9.04,-14.86,12.02,-50.29,-0.01,2.56,3.38
769,106.51,6.74,6.97,134.15,9.39,9.4,681.11,22.54,8.56,-14.31,11.2,-49.71,-0.01,2.56,3.37
769.5,114.65,6.74,6.97,138.54,8.72,9.14,671.72,23.14,8.52,-15.38,10.67,-48.52,-0.01,2.56,3.29
770,123.24,6.74,6.97,133.7,8.11,8.79,650.06,26.4,8.79,-17.43,10.39,-47.26,-0.01,2.56,3.25
770.5,131.76,6.74,6.97,130.17,7.59,8.29,633.31,28.84,8.89,-19.29,10.14,-46.82,-0.01,2.56,3.2
771,139.71,6.74,6.97,131.86,7.16,7.7,606.95,29.63,8.96,-19.96,9.72,-47.4,0,2.56,3.26
771.5,146.15,6.74,6.97,135.91,6.84,7.13,588.89,31.44,8.71,-18.9,9.1,-48.5,0.01,2.56,3.3
772,149.57,6.74,6.97,142.21,6.69,6.68,590.04,31.63,8.89,-16.46,8.45,-49.7,0.01,2.56,3.27
772.5,150.51,6.74,6.97,149.43,6.64,6.43,617.08,29.88,9.63,-14.45,8.05,-50.69,0,2.55,3.3
773,149.86,6.74,6.97,152.9,6.67,6.4,659.36,28.48,10.45,-14.24,8.05,-51.89,0,2.53,3.49
773.5,147.75,6.74,6.97,156.93,6.77,6.6,700.14,28.73,12.55,-16,8.46,-54.36,0,2.5,3.7
774,145.72,6.74,6.97,173.97,6.86,7,719.29,31.83,21.24,-19.24,9.19,-59.07,-0.03,2.35,3.7
774.5,144.96,6.74,6.97,191.7,6.9,7.5,727.11,37.59,38.67,-24.79,10.44,-65.1,-0.07,2.05,3.33
775,144.19,6.74,6.97,174.69,6.94,7.88,721.71,39.75,53.47,-30.27,11.91,-68.65,-0.06,1.8,2.8
775.5,142.37,6.74,6.97,134.2,7.02,7.88,720.75,40.19,60.06,-30.69,12.18,-68.53,-0.01,1.68,2.39
776,138.88,6.74,6.97,111.95,7.2,7.59,721.4,38.17,57.26,-25.05,10.95,-65.72,0.01,1.73,2.12
776.5,134.01,6.74,6.97,118.53,7.46,7.35,725.38,32.96,44.2,-16.81,9.46,-61.77,0.01,1.95,2
777,129.38,6.74,6.97,142.47,7.73,7.42,731.64,27.65,26.89,-12.1,8.89,-58.65,0.01,2.25,2.13
777.5,127.33,6.75,6.97,161.51,7.85,7.84,731.88,26.23,12.56,-14.22,9.42,-56.72,0.01,2.5,2.55
778,127.07,6.73,6.97,161.18,7.87,8.51,732.84,26.51,4.87,-19.35,10.51,-55.51,0,2.63,3
778.5,126.2,6.73,6.97,156.38,7.92,9.16,730.73,26.46,2.23,-23.23,11.51,-54.54,0,2.67,3.43
779,123.72,6.73,6.97,151.85,8.08,9.59,730.96,26.01,1.32,-25.8,12.42,-53.35,-0.01,2.69,3.92
779.5,119.02,6.73,6.97,141.28,8.4,9.76,725.87,24.87,0.37,-26.69,13.15,-51.88,-0.01,2.7,4.25
780,113.37,6.73,6.97,131.36,8.82,9.82,720.83,24.6,-0.6,-23.78,12.9,-50.62,-0.01,2.72,4.34
780.5,108.53,6.73,6.97,135.81,9.21,9.9,708,25.86,0.37,-18.86,12.09,-50.34,-0.02,2.7,4.17
781,105.38,6.73,6.97,143.23,9.49,10.04,698.13,26.84,3.1,-15.89,11.68,-51.37,-0.03,2.66,4.04
781.5,104.78,6.72,6.97,141.73,9.54,10.18,685.8,27.34,4.1,-15.54,11.66,-53.08,-0.02,2.64,4.2
782,106,6.72,6.99,141.12,9.43,10.2,678.42,26.98,4.07,-15.94,11.63,-54.68,0,2.64,4.32
782.5,108.22,6.73,7.06,142.7,9.24,10,668.13,25.34,4.68,-16.27,11.48,-55.71,0.02,2.63,4.13
783,110.29,6.73,7.06,140.3,9.07,9.55,670.32,24.98,5.44,-16.09,11.23,-56.19,0.03,2.62,3.76
783.5,112.89,6.73,7.06,141.28,8.86,8.98,662.93,26.84,5.24,-15.43,10.84,-56.26,0.04,2.62,3.6
784,116.56,6.73,7.06,148.74,8.58,8.38,650.05,29.72,5.14,-14.43,10.29,-56.07,0.04,2.62,3.58
784.5,122.25,6.73,7.06,151.95,8.18,7.84,627.08,29.75,5.29,-13.7,9.69,-55.79,0.03,2.62,3.49
785,130.54,6.73,7.06,151.13,7.66,7.33,619.59,29.06,5.62,-13.78,9.11,-55.35,0.02,2.61,3.39
785.5,142.2,6.73,7.06,151.82,7.03,6.79,632.37,30.52,5.9,-14.92,8.58,-54.66,0.01,2.61,3.41
786,157.2,6.73,7.06,153.28,6.36,6.18,660.3,32.03,4.85,-16.47,8.05,-53.69,0,2.63,3.63
786.5,173.41,6.73,7.06,156.96,5.77,5.53,687.68,31.66,4.61,-16.58,7.34,-52.91,-0.01,2.63,4.18
787,190.68,6.73,7.06,160.09,5.24,4.95,704.78,30.49,6.72,-14.87,6.47,-53.12,-0.01,2.6,4.54
787.5,203.59,6.72,7.06,165.44,4.91,4.5,709.43,31.15,10.49,-11.5,5.67,-54.81,-0.01,2.53,4.12
788,210.34,6.72,7.06,180.11,4.75,4.25,721.41,32.63,17.02,-8.65,5.2,-57.54,-0.01,2.42,3.53
788.5,209.94,6.73,7.15,200.52,4.76,4.22,733.74,35.93,27.54,-7.69,5.12,-60.16,-0.01,2.24,2.98
789,199.25,6.76,7.42,207.91,5.02,4.51,743.6,41.65,38.81,-7.22,5.34,-61.99,0.02,2.05,2.62
789.5,184.76,7.13,7.42,190.19,5.41,5.31,746.89,43.85,40.48,-9.02,6.03,-63.23,0.14,2.02,2.4
790,164.74,7.14,6.88,158.23,6.07,6.98,739.4,38.94,32.34,-14.29,7.47,-64.74,0.23,2.16,2.2
790.5,141.3,6.61,6.88,130.98,7.08,9.9,732.72,31.73,25.37,-21.55,9.91,-67.39,0.16,2.28,2.1
791,121.23,6.61,6.88,116.25,8.25,13.44,725.39,26.35,18.69,-27.18,13.01,-70.98,0.04,2.39,2.29
791.5,99.7,6.61,6.88,110.05,10.03,15.38,728.28,24.19,12.4,-26.79,15.52,-74.41,0,2.5,2.84
792,78.15,6.6,6.88,107.52,12.8,15.37,725.13,23.34,11.85,-22.57,17.83,-77.48,-0.01,2.51,3.35
792.5,62.78,6.61,6.88,103.52,15.93,15.54,721.78,23.58,15.09,-19.81,20.7,-80.08,0,2.45,3.38
793,51.05,6.62,6.88,95.82,19.59,17.24,713.65,23.85,18.03,-17.38,23.95,-82.09,0,2.4,3.19
793.5,44.11,6.66,6.88,92.95,22.67,21.06,709.24,23.37,19.22,-16.44,27,-83.6,0,2.38,3.08
794,41.45,6.71,6.88,91.03,24.13,26.86,700.7,23.14,18.74,-18.53,29.92,-84.53,0.01,2.39,3.08
794.5,41.05,6.71,6.88,88.64,24.36,33.17,704.22,23.68,18.45,-22.29,32.78,-84.95,0.01,2.39,3.1
795,41.8,6.71,6.88,85.94,23.93,37.01,696.1,23.56,18.84,-26.04,35.06,-85.03,0,2.39,3.05
795.5,42.55,6.71,6.88,83.57,23.5,37.1,682.18,23.9,19.26,-28.13,36.19,-84.87,0,2.38,2.95
796,42.93,6.71,6.88,82.93,23.29,35.15,663.46,24.8,19.44,-28.15,35.89,-84.67,0.01,2.38,2.88
796.5,43.49,6.71,6.88,87.84,22.99,33.24,658.89,23.92,19.02,-27.36,34.79,-84.77,0,2.38,2.8
797,44.08,6.71,6.88,92.94,22.68,32.11,672.42,23.5,17.96,-26.64,33.77,-85.52,0,2.4,2.81
797.5,44.68,6.71,6.87,91,22.38,31.6,694.7,23.39,16.91,-26.5,33.22,-86.87,0,2.42,2.98
798,45.37,6.71,6.88,91.67,22.04,31.29,709.89,22.28,16.74,-26.25,32.54,-88.36,0,2.42,3.21
798.5,45.76,6.71,6.88,104.93,21.85,30.83,708.32,22.45,17.01,-25.12,31.44,-89.37,0,2.42,3.36
799,45.94,6.71,6.88,112.93,21.77,30.2,694.2,23.54,17.73,-23.81,30.42,-89.4,-0.01,2.41,3.45
799.5,46.07,6.71,6.88,98.05,21.7,29.62,687.75,23.5,18.16,-23,29.79,-88.89,0,2.4,3.37
800,45.89,6.71,6.88,86.62,21.79,29.23,685.03,23.18,18.09,-22.65,29.68,-88.7,0,2.4,3.08
800.5,45.87,6.71,6.88,85.34,21.8,29.07,693.19,22.53,18.46,-23.18,30.04,-89.24,0,2.39,2.78
801,45.62,6.71,6.88,81.03,21.92,28.96,711.46,22.3,19.47,-24.16,30.86,-90.39,0,2.38,2.67
801.5,45.74,6.71,6.88,75.66,21.86,28.58,725.45,23.57,19.47,-25.23,31.54,-91.71,0.01,2.38,2.64
802,46.32,6.71,6.88,80.17,21.59,27.78,744.5,24.48,17.52,-24.76,30.82,-92.61,0.01,2.41,2.63
802.5,47.8,6.71,6.88,91.95,20.92,26.58,758.5,24.21,14.68,-23.35,29,-92.75,0.01,2.46,2.66
803,50.5,6.71,6.88,99.2,19.8,24.91,773.01,23.75,14.33,-24.45,28.21,-92.27,0,2.46,2.84
