DEPTH,CILD,CALN,CALD,GR,ILD,ILM,LWTLB,NPLS,DPLS,RXRT,SFL,SP,DRHO,RHOB,PE
522,98.35,6.86,6.97,132.31,10.17,10.57,652.22,25.16,10.27,-11.92,11.6,-3.79,0.02,2.53,3.55
522.5,98.31,6.86,6.97,125.62,10.17,10.66,657.95,24.53,10.08,-11.85,11.59,-3.31,0.02,2.54,3.39
523,98.88,6.86,6.97,118.28,10.11,10.67,659.71,23.69,10.6,-11.98,11.55,-2.92,0.01,2.53,3.18
523.5,99.45,6.86,6.97,110.22,10.05,10.62,662.8,23.03,11.72,-11.78,11.45,-2.76,0.01,2.51,3.05
524,99.55,6.86,6.97,105.26,10.04,10.53,667.48,22.57,12.71,-11,11.26,-2.84,0,2.49,3.01
524.5,99.04,6.86,6.97,110.94,10.1,10.47,672.76,22.38,13.53,-9.89,11.07,-3.11,-0.01,2.48,3.01
525,97.95,6.86,6.97,116.86,10.21,10.51,680.93,21.74,13.78,-8.97,10.99,-3.47,-0.01,2.47,2.97
525.5,96.75,6.86,6.97,116.17,10.34,10.7,682.29,21.59,13.48,-9.01,11.13,-3.84,-0.01,2.48,2.91
526,95.71,6.86,6.97,112.15,10.45,11.05,687.28,22.04,13.14,-10.72,11.63,-4.21,-0.01,2.49,2.93
526.5,94.97,6.86,6.97,109.51,10.53,11.49,691.02,21.7,13.05,-13.94,12.49,-4.66,-0.01,2.49,3.04
527,94.15,6.86,6.97,109.27,10.62,11.81,697.13,21.1,12.95,-16.71,13.33,-5.32,0,2.49,3.12
527.5,92.78,6.86,6.97,108.88,10.78,11.91,696.56,20.48,13.05,-16.73,13.52,-6.04,-0.01,2.49,3.17
528,90.82,6.86,6.97,108.26,11.01,11.81,695.12,19.17,12.9,-13.51,12.92,-6.55,-0.01,2.49,3.17
528.5,89.41,6.86,6.97,112.45,11.18,11.72,688.09,18.71,11.85,-10.08,12.26,-6.64,0,2.51,2.99
529,88.98,6.86,6.97,118.37,11.24,11.79,687.87,19.78,10.17,-10.08,12.31,-6.34,0.01,2.54,2.87
529.5,89.42,6.86,6.97,114.93,11.18,11.98,678.52,20.08,9.18,-13.1,13,-5.92,0.02,2.55,2.87
530,89.79,6.86,6.97,103.49,11.14,12.14,669.78,19.52,10.18,-15.2,13.51,-5.55,0,2.54,3
530.5,89.5,6.86,6.97,95.64,11.17,12.15,641.27,19.38,11.67,-14.46,13.35,-5.35,-0.01,2.51,3.16
531,88.27,6.86,6.97,94.65,11.33,12.09,614.91,18.98,13.49,-11.79,12.83,-5.39,-0.02,2.48,3.25
531.5,86.89,6.86,6.97,94.17,11.51,12.12,598.62,18.09,14.16,-9.64,12.49,-5.74,-0.03,2.47,3.26
532,86,6.86,6.97,93.59,11.63,12.34,605.02,18.29,13.32,-9.75,12.64,-6.29,-0.02,2.48,3.22
532.5,85.85,6.86,6.97,96.96,11.65,12.65,630.88,19.61,12.31,-11.94,13.21,-6.66,0,2.5,3.24
533,86.17,6.86,6.97,97.84,11.61,12.83,664.33,19.78,11.54,-13.89,13.68,-6.51,0.01,2.51,3.24
533.5,86.52,6.86,6.97,95.64,11.56,12.76,688.67,19.04,10.85,-13.63,13.56,-5.78,0.01,2.52,3.24
534,86.9,6.86,6.97,100.12,11.51,12.48,707.8,18.45,10.31,-11.62,12.97,-4.98,0.02,2.53,3.19
534.5,87.65,6.86,6.97,108.45,11.41,12.15,714.13,18.86,10.62,-10.21,12.52,-4.39,0.02,2.53,3.16
535,88.93,6.86,6.97,110.61,11.24,11.87,722.94,19.96,12.16,-10.34,12.38,-4,0,2.5,3.24
535.5,90.36,6.86,6.97,109.99,11.07,11.62,724.14,20.59,13.3,-10.59,12.25,-3.64,-0.01,2.48,3.3
536,91.8,6.86,6.97,110.19,10.89,11.38,721.96,20.61,13.42,-10.05,11.94,-3.21,-0.02,2.48,3.33
536.5,93.28,6.86,6.97,114.23,10.72,11.17,718.34,20.96,12.51,-9.45,11.63,-2.92,-0.01,2.5,3.41
537,94.69,6.86,6.97,117.92,10.56,11.02,710.12,21.66,11.54,-9.86,11.55,-2.92,0,2.51,3.42
537.5,95.97,6.86,6.97,116.27,10.42,10.9,707.6,22.15,11.28,-10.98,11.66,-3.2,0,2.52,3.37
538,96.86,6.86,6.97,114.18,10.32,10.78,706.06,22.43,11.55,-11.48,11.67,-3.54,0,2.51,3.37
538.5,97.64,6.86,6.97,117.04,10.24,10.61,707.88,23.43,11.75,-11.07,11.49,-3.67,-0.01,2.51,3.41
539,98.27,6.85,6.97,122.17,10.18,10.43,705.73,24.57,11.53,-10.29,11.24,-3.56,-0.01,2.51,3.44
539.5,99.17,6.85,6.97,128.07,10.08,10.24,705.18,23.94,10.53,-10,11.08,-3.3,0,2.53,3.33
540,100.61,6.86,6.97,130.16,9.94,10.04,694.97,23.16,9.48,-10.47,11.03,-3.1,0.01,2.55,3.25
540.5,102.66,6.86,6.97,125.65,9.74,9.8,684.6,24.17,8.69,-11.41,11.02,-3.19,0.02,2.56,3.21
541,105.12,6.86,6.97,122.27,9.51,9.47,669.46,25.6,9.34,-11.91,10.88,-3.64,0.01,2.55,3.28
541.5,108.28,6.86,6.97,122.58,9.24,9.09,669.88,26.73,10.06,-11.6,10.51,-4.42,0,2.54,3.38
542,112.51,6.86,6.97,126.68,8.89,8.71,667.48,25.81,10.2,-11.08,10.03,-5.45,0,2.54,3.45
542.5,118.29,6.86,6.97,131.53,8.45,8.37,667,24.66,10.6,-11.56,9.65,-6.4,0,2.53,3.52
543,125.6,6.86,6.97,134.35,7.96,8.08,659.08,27.32,11.65,-13.63,9.49,-6.79,-0.01,2.51,3.65
543.5,132.71,6.86,6.97,134.03,7.54,7.8,661.4,29.63,12.2,-16.67,9.59,-6.46,-0.01,2.5,3.73
544,137.71,6.86,6.97,133.85,7.26,7.53,674.21,27.66,11.65,-19.33,9.79,-5.7,0,2.51,3.76
544.5,137.82,6.86,6.97,133.82,7.26,7.33,698.71,26.12,11.07,-19.3,9.78,-5.01,0,2.52,3.68
545,131.75,6.86,6.97,134.2,7.59,7.36,716.59,27.14,11.04,-15.74,9.47,-4.73,0,2.52,3.53
545.5,119.55,6.86,6.97,137.26,8.36,7.85,732.15,28.27,10.79,-14,10.03,-4.82,0,2.53,3.35
546,103.77,6.86,6.97,138.2,9.64,9.18,736.93,28.58,9.49,-40.44,21.11,-4.99,0,2.55,3.17
546.5,87.17,6.86,6.97,131.76,11.47,12.03,744.1,25.67,6.51,-75.78,65.77,-4.98,0.01,2.6,3.14
547,71.16,6.86,6.97,111.79,14.05,17.83,744.89,17.77,3.42,-100.33,166.67,-4.78,0.02,2.65,3.48
547.5,57.83,6.86,6.97,79.58,17.29,28.32,746.43,8.89,1.22,-113.41,307.48,-4.44,0.01,2.69,4.13
548,47.61,6.86,6.97,54.33,21,39.99,741.96,3.97,0.86,-112.54,362.67,-4.13,0,2.7,4.7
548.5,43.97,6.86,6.97,56.02,22.75,37.7,730.12,2.59,5.08,-99.67,262.13,-3.99,-0.01,2.62,4.78
549,48.25,6.86,6.97,84.32,20.73,25.51,717.68,4.51,17.45,-82.65,142.07,-4.29,-0.04,2.41,4.34
549.5,60.26,6.85,6.97,121.12,16.59,16.35,707.84,10.11,33.71,-64.12,66.91,-5.06,-0.05,2.13,3.75
550,76.84,6.84,6.97,139.27,13.01,11.34,708.02,22.04,44.34,-42.1,29.21,-5.78,-0.02,1.95,3.11
550.5,94.73,6.83,6.97,132.11,10.56,8.77,705.99,35.21,46.81,-23.55,15.33,-5.49,0.01,1.91,2.56
551,113.5,6.93,6.97,124.6,8.81,7.55,704.64,36.66,39.22,-11.73,10.1,-3.82,0.05,2.04,2.29
